text;label;note
"[Yahoo Sports] Nico Schlotterbeck is waiting for Real Madrid. He has a 50M club-specific release clause for three clubs (Bayern, Liverpool and Real Madrid according to previous reports). However, Real Madrid will work on departures before new signings.

Apparently the other options are Rúben Dias and Bastoni.
Bastoni in a back four sounds like a very bad idea, unless Mourinho wants a back three of course. Might actually make sense with their lack of an actual right winger and it would allow Trent to have more attacking freedom.
Trent is not a wingback and that nullifies his playmaking ability. He can't even run up and down the line, which is one of the main tasks for a wingback.
It’s something to think about since we got Dumfries.
I don’t know why people think this, he’s always been a right back in a four.";Analytical/Speculative Take;
"The World Cup’s most unlikely star Tim Payne seals post-tournament transfer (to Olimpia in Paraguay)

Kinda reminds me of one of my FM saves where a Scottish player ended up in the Paraguayan league.
Once saw a Chinese guy come through a Ghanaian academy in a save.
What a strange move.
No one would have guessed that a month ago lmao.
PR move.
It’s for marketing, so the club also gains followers.";Human-Interest/Color;
"Milan close to signing Aurelien Guernier from Birmingham City. BlueCo group is also in contact with the player but Milan look to beat the competition for the player. Birmingham will receive a fee as training compensation

BlueCo...
Strasbourg will buy him for an extortionate fee, play him for a year, then sell him to Chelsea for 500k.
BlueCo™ will acquire his rights for a competitive market rate, before relocating him to the London office following a successful probationary period.";Drive-By Drop;
"World Cup 2026: Tino Livramento suffers hamstring injury and replaced by Trevoh Chalobah in England squad

Heartbreaking for him. To lose out on the World Cup due to an injury in training is brutal.
It was always mental to take him and James as our right backs, they’re never going to both be fit all tournament.
There’s Spence too.
But he’s our only left-back cover that isn’t Dan Burn. There was always going to be a world where James and Livramento were both unavailable and Spence has to play right. Then what happens if O’Reilly goes down or can’t defend outside of Pep’s system? Mental squad selection.";Analytical/Speculative Take;
"Official: Sevilla FC sign Arouna Sangate from AC Le Havre

Sangante*
That sounds like an Indian name especially from the Maharashtra region.
He's from Senegal.";Drive-By Drop;
"Ousmane Sonko Frames France-Senegal World Cup Clash as a Mirror for Africa's Untapped Power - ""Whichever team wins, it is Africa that will have beaten Africa""

white racists  black racists = French NT is African.
gotta love “anti-racists” thinking they’re being progressive by claiming that people representing these countries are actually just African, but they say it in a positive way so it’s okay.";Drive-By Drop;
"Nico Paz informs Real Madrid that he wants to stay at Como. He has already informed the club's management that he plans to reverse his decision to return back. Real Madrid will have one last option to re-sign the player until June 30th, 2027, in this case for €10 million.

The deadline to exercise the buy-back option is June 30th, but the decision has already been made. Real Madrid still retains control of his future until 2027.
Confidence in the Argentine international remains strong, but the club’s current urgency has led them to rely more on experience, following José Mourinho’s advice.
If any other club wants to transfer him, it still requires Real Madrid’s approval, which would give them half of the transfer fee, though that option is not currently being considered.";Analytical/Speculative Take;
"Tino Livramento expected to be ruled out of the World Cup with injury

Hall, Lewis-Skelly and Trent at home and he’s calling up Chalobah.
Hall definitely would’ve deserved it. I don’t understand why he wasn’t selected. Trent has been out of form and Lewis-Skelly was excellent as a midfielder but underwhelming as a fullback last season.
As a Barça fan I would’ve taken Hall just for the chance of facing Spain. He was immense versus Yamal.
If he was immense versus Yamal then you’d trust him against France too with Olise. Baffles me how Hall hasn’t been included.
Carreras pocketed Yamal in El Clásico and then got rinsed by Olise. Been an odd year, so managers are looking at more than individual performances.";Analytical/Speculative Take;
"Iran says their player Mehdi Torabi's US visa has expired after opening game as he was only issued a single-entry visa instead of the multiple-entry visa given to other Iranian national team players to take part in the World Cup.

Football players in the biggest international tournament in the world, they’re just like me.
Freedom of being treated like shit.
Welcome to America… now get out.
“This is an environment of welcoming, and you should get the hell out of here” — Michael Scott.";Drive-By Drop;
"World Cup 2026 tactics: Tactical trends as Brazil join others in adopting a 4-4-2

Pep leaves, nature is healing.
Mike Bassett was right all along.
Watching the Czechs play proper Brexit ball and score on a long throw was thrilling.
Teams are just more adaptable today. Defend in a 4-4-2, attack in a 4-2-3-1 or 4-3-3. It always varies. Sometimes teams rotate to a 3 at the back during games too. It’s very fluid.
I agree, formation changes during different phases of the pitch. I’ve seen teams play a 4-4-2 and go 2-4-4 in the final phase of the pitch.
Attack in a 4-2-3-1 or 4-3-3.";Analytical/Speculative Take;
"Why I Love The Beautiful Game: Zohran Mamdani on Arsenal transfers and magic of World Cup | The Athletic [Free Read]

It feels weird that someone with this much administrative power and responsibility has this much ball knowledge. He should be getting West Ham and Aston Villa mixed up, not reminiscing about Balotelli, Jay-Jay Okocha, and Pascal Cygan.
He’s a year older than me. Also raised in NYC. We grew up watching the game. Take any senator or politician in their 50s and they’ll rattle off legends in baseball and American football. Just so happens he, like many of us, grew up watching the beautiful game.
I’m from NYC as well. My parents are Bangladeshi. I grew up with soccer, then basketball, and even badminton. I didn’t get into American football and baseball until I moved away from NYC.";Human-Interest/Color;
"[Ornstein] Tottenham in positive Sandro Tonali talks with Newcastle midfielder’s camp

It’s no surprise they’re in positive talks with his camp given his agent has been working overtime for him the past few months, but I really do wonder what we’ll ask for when club talks eventually commence—something like £80–£90m is what I’ve seen rumoured.
He’s definitely not really worth that much based on last season, but the market is the market I guess. Do think this is a bit of a weird move for him though despite Spurs obviously being a lot better next season.
Says transfer fee bigger challenge than player deal. Same message from when both Manchester clubs came in looking.
Tonali would go to any of the three but he's being priced out of a move.";Analytical/Speculative Take;
"A Qatar private jet, police escorts and two games a day: Infantino’s World Cup

He’s stopped living in any time zone such is the amount of flights he takes.
None of this would be possible without his deal with Qatar Airways.
It is easy to track his movements as host-broadcaster cutaways constantly show him smiling in the crowd.
Two matches in one day twice already… that’s genuinely insane scheduling.";Analytical/Speculative Take;
"[Official] PEC Zwolle has parted ways with striker Thomas Buitink. The 26-year-old still had a year remaining on his contract, but following mutual agreement, Buitink is leaving with immediate effect and is also bringing his professional career to an end.

Jammer, had een aantal goede seizoenen bij Vitesse als ik het me goed herinner.
Damn, context?
There’s not a lot. He just thanks the fans basically.
He has mentioned that his lack of playing got more and more frustrating. Maybe he decided that he isn’t good enough to be a professional footballer. Which I somewhat agree with.";Analytical/Speculative Take;
"New Zealand's Garbett ruled out of World Cup with injury

That's gotta be unbelievably soul crushing.
(Maybe he will only be out for a few weeks and make it back in time for the quarterfinals...)";Human-Interest/Color;
"A man broke into the house of former Bayern player Mehmet Scholl. He ate, showered, and then went to Scholl’s daughter’s bedroom. She was with her boyfriend, an 1860 München player, who subdued the intruder.

That’s a pretty wild headline.
OP actually toned it down. Some outlets had the fact that he was naked in the title, and Focus titled it “Perpetrator tries to get into his daughter’s bed (20)” in the link.
A 20-year bed is not really comfortable anymore. I’m sure her father made enough money to change it.
A 20-year-old mattress maybe, but a good solid wood bed should last decades.";Human-Interest/Color;
"Official: Dionisi Appointed As Head Coach of Watford Football Club

Official: Watford would like to thank Dionisi for his services. We wish them all the best in his future endeavours.
22nd in 10 years in case you were wondering.
That’s including caretakers though. They’ve had 25 permanent managerial spells (23 different managers) in the last 15 years.
It’s almost like jury selection at this stage.";Analytical/Speculative Take;
"Official: Olympique Lyonnais is pleased to announce the arrival of winger Kaïl Boudache from OGC Nice

This guy has a 10/10 Transfermarkt picture.
Nice.
Brest player they could find.
Soon they’ll announce Duranville and Afonso Moreira coming to Leverkusen, can’t wait.";Drive-By Drop;
"Hervé Renard coach of Tunisia for the remaining 2 games of the WC

Hervé Renard managing at the WC? Yeah, game might be back.
He’s always there, in one way or another.
“For the remaining 2 games of the WC” — you don’t know that.
True, if they lose 5–1 again he might get sacked.
That would be hilarious. Future trivia question: which national team had a new coach for each World Cup game?
I kinda want this to happen, for the lulz.
Is Bora Milutinović available?";Drive-By Drop;
"Unprecedented World Cup rift: South Korea squad boycotts domestic media over Son Heung-min slurs

Of all people they picked the national hero who got granted exemption, not some celeb who faked an injury.
National hero who got granted it by actually winning for his country, and still served with the military during COVID (did basic training).
4 weeks basic training is required even when exempt through athletic accomplishments.
I thought it was 3 or 4 months?
Nah it’s 4 weeks. Everyone in the normal army gets 4 to 5 weeks basic training before getting sent to their actual post.";Analytical/Speculative Take;
"Two of the most marginalized communities in Middle East, Assyrians and Kurds represent Iraq in their first World Cup match against Norway today

Kinda nuts to see Assyrians as a marginalized community, considering their history.
Ancient history maybe, but they’ve been marginalized for a good while now.
Last 1000 years were the worst for Assyrians, including genocides like Seyfo. Around 60% of Assyrians perished in that genocide.
I genuinely did not know that last part. That is tragic.
And they faced more massacres after that: Simele Massacre in 1933, Al-Anfal Campaign in the 1980s, sectarian violence after 2003 in Iraq, and ISIS destroying their last stronghold in the Nineveh Plains, making it the first time church bells didn’t ring there after more than 1600 years.";Analytical/Speculative Take;
"Chinese World Cup fans robbed at gunpoint soon after arrival in Mexico

Zimmermann Telegram eat your heart out.
For a moment I thought China was in the WC.";Drive-By Drop;
"[Emerse Faé] ""When we were in France, during the preparation, journalists told me Yan Diomande was about to sign with PSG. Here, they tell me he's about to sign with Liverpool! I don't know, but for now, he will focus on the World Cup, and then afterwards, he can think about the rest of his career.""

What PSG man, they have Doué/Barcola/Dembélé/Mbaye/Kvaratskhelia all wingers.
At Liverpool he can play LW (his main position before moving to RW to accommodate Nusa).
Before the CL final there was some insane stat that PSG's players basically only play like 60% of possible minutes in the league. They rotate a lot because, well, they can.
They did a shitload of rotating, not just because they can, but because they had no pre-season and were dealing with injuries all year long. They ended the season with the same number of points over the second as Arsenal btw, closer than any other top 5 league.";Analytical/Speculative Take;
"[David Ornstein] Manchester United paying serious attention to West Ham's Crysencio Summerville, and have enquired about his situation. He ranks high among club's options for left-wing. MUFC made aware that it is expected to cost approximately £50m. Much will depend upon Rashford's departure

That price is insane, he’s not worth close to that. As a West Ham fan you’re just infinitely better off coughing up the 80 for Fernandes.
Why not both.
If someone wants to pay £50m for Summerville I’ll drag him there myself if I have to.
50 million for who? He has 6 goals in 50 league appearances for West Ham. The market is absolutely insane";Analytical/Speculative Take;
"20 years ago today, Argentina demolished Serbia & Montenegro 6-0 in Gelsenkirchen which included one of the best team goals in WC history (their 2nd goal) and Lionel Messi's first goal in the competition

This Serbia team conceded only one goal during qualification and topped a group including Spain, Bosnia and Belgium. They were not a weak team.
This game/tournament started a weird phase that lasted up until Euro 2024 where Serbia managed to qualify with brilliant performances only to shit the bed at every tournament.";High-Effort Write-up;"(historical ""X years ago today"" posts) are High-Effort because the submission text itself carries dated, named narrative content, same as your World Cup preview examples."
"30 years ago today - Croatia advances to the Euro 96 QF after beating holders Denmark. Davor Šuker scored a brace in that match, the second being a wonderful chip over Peter Schmeichel

Back in ’97 my parents went on a holiday to Madrid and I begged them to get me a Real Madrid shirt. They came back with a Šuker one and I quickly realized I couldn’t wear it because everyone kept calling me “Sucker”.
Tears in my eyes  For anyone from Croatia who was into football back then, these performances from ’96 and ’98 must have felt so special considering what the country went through in the early to mid 90s.
That Šuker goal is the most beautiful goal in our NT history. The first touch, the run, the chip… everything was perfect.";High-Effort Write-up;"(historical ""X years ago today"" posts) are High-Effort because the submission text itself carries dated, named narrative content, same as your World Cup preview examples."
"[kicker] Dino Toppmöller has signed to be the next manager of RC Lens

Synopsis: ex-Eintracht Frankfurt manager Dino Toppmöller has signed to be the next manager of RC Lens, with Pierre Sage heading to Crystal Palace.
Toppmöller is no stranger to French communication as he has worked in Belgium and Luxembourg, making him attractive for Ligue 1 roles due to his fluency.
Before Frankfurt, he worked under Julian Nagelsmann at Leipzig and Bayern. After Nagelsmann’s sacking, he moved to Frankfurt, finishing third in his first season before a slump in his second.
Is he the son of the coach who nearly won the league + CL with Leverkusen in 2002?
Yes.
Sage to Crystal Palace, Toppmöller to Lens… GLASNER TO FRANKFURT???
What happened to the previous manager? I thought Lens had a successful season.
Got hired by Crystal Palace.";High-Effort Write-up;
"[The Guardian] France are stacked with talent but memories of Senegal's 2002 upset still linger

The average age of French players is 26 or something, and this happened 24 years ago so I’m not sure they feel too bad about it lol.
The Guardian trying to stir shit.
Please don’t remind me that El Hadji Diouf and Salif Diao existed.
When I was watching Italy 1990 people were talking up England as favourites and how they were champions 24 years before, and I was like that’s way too long ago to be relevant… and yet here we are again talking about Senegal vs France.";Drive-By Drop;
"Pre-revolutionary flags spotted, anthem booed at Iran’s World Cup opener

I don’t think diaspora Iranians in LA who have the kind of cash to attend the most expensive World Cup in history are representative of the general Iranian population. Would be surprised if the US allowed any fans actually based in Iran to attend at all. Awful for the players by the way, treated as less than dirt by the US administration.
I was at the match with my Iranian boyfriend (who is critical of both the current and Shah’s regime). He recognized some attendees near us as having come directly from Iran, which is surprising considering how much they had to go through to get there.";Analytical/Speculative Take;
"[Ben Jacobs] In a surprise move, the Tunisian Football Federation are working on trying to appoint Hervé Renard to replace the sacked Sabri Lamouchi. That's despite earlier confirming Mondher Kebaier was to take over on an interim basis

It’s not a World Cup without Hervé. Right decision.
Got to have that white shirt.
Stupid, sexy Renard.
Local sources suggest that Hervé Renard will join the players as early as tomorrow. He is surprised by certain names on the list and their playing time. Everything was decided at the highest levels of the State: the presidency experienced the 5-1 loss to Sweden as a humiliation and granted a higher salary to bring in Renard.";Analytical/Speculative Take;
"Iran forced to leave US immediately after World Cup draw with New Zealand

“The most oppressed” at the World Cup.
Their treatment was a disaster, and they weren’t even allowed to do a recovery session.
FIFA president Gianni Infantino reportedly went into the dressing room to help, but even he couldn’t clarify why they were being sent back to Tijuana early.
No explanation given… just a sudden forced departure after a 2-2 draw.";Human-Interest/Color;(Iran forced to leave US) leans Human-Interest over Drive-By since the comments are short but genuinely sympathetic/outraged reactions to a real grievance, not flat one-liners.
"Pennsylvania warns World Cup teams not to fall victim to Rocky Statue curse

Am a huge Philadelphia sports fan and generally people loved Ecuador doing it, but then they lost. Even with the best intentions, if you put your team’s jersey on Rocky you will lose.
Will it really happen if I were to put Man United's jersey on Rocky then?
Can you hex another team?
Spirit knows the intent behind the action and will just load bad karma onto the one performing it.";Human-Interest/Color;
"Infantino using private jet in attempt to watch two World Cup matches per day

I’m surprised he even wants to watch the games, he always looks super bored when the camera cuts to him. Does he actually enjoy watching football?
It’s not to watch. It’s to meet people who come to the game. A lot of these events are networking and international business opportunities.
Probably not, but the chance to suck up to some American celebs is not an opportunity he will miss.
Suck off **
How does he find the time in between doing it to Trump?";Analytical/Speculative Take;
"‘ I don’t see meaning in football without Mexico ’ : Guillermo Ochoa eying retirement post World Cup
The comments from Mexicans and non-Mexicans regarding Ochoa are always so insanely different lmfao. I love him and will always love him
Mexicans don't like him? If so why would it be the reason?
he’s MAGA
never expected ted mosby to be MAGA
Not even to do with politics. The way the Mexican national team works is weird, there’s been speculation that managers are forced to use certain players due to sponsorships. Ochoa has done a fine job at the World Cup but there have been other keepers such as Jose de Jesus Corona and Alfredo Talavera who maybe were performing better in the lead up to “major” tournaments who never got a look bc the spot was always going to go to Ochoa.";Analytical/Speculative Take;
"His Arsenal song wouldn't be as good without the Senegal part in his life

All of them always saying how proud they are over their roots, never forget, but they still want to play for France and win stuff lol

Patrick Vieira on any regrets in football: ""Just one. Not going to Real Madrid. They approached me for four years straight, when I was at Arsenal. In the last year I said yes, all the agreements were in place, but I thought better of it. I loved Arsenal too much."" Loved Arsenal so much that he regretted not joining Madrid.

I mean it's possible that he grew up, became more cynical and is questioning how tf he loved a football club this much to not give RM a try";Analytical/Speculative Take;
"Iranian team criticizes World Cup organization , Says Gianni Infantino has promised to help

I’m sure he will (won’t) help

A promise as significant as the peace prize

Infantino also said beers would be sold in Qatar

Bambino wasn't going to do shit on a random day. Let alone on a day he let the US host the world cup, after giving the president who bombed Iran a peace prize no less.";Analytical/Speculative Take;"thin Analytical calls under your minimum-bar rule — each has at least one specific cited fact (past broken promises; the agriculture-check explanation) even though most of the thread is jokes."
"Iran Vs New Zealand World Cup Game 1 disallowed ‘2nd goal’ Free Kick offside Pedarsag Fan view

This should’ve stood. He wasn’t off…if you ignore the evidence

He was only about the distance from LA to San Diego offside

the WHAT fan view?

google it, Pedarsag!";Drive-By Drop;
"All 6 FIFA Confederations have now played in the World Cup Group Stages! This is the current Points Per Game standings.

No pressure Iraq, Jordan and Uzbekistan

AFC: oh fuck.

Oceania is massive

Texans: not so fast

Just as I don't understand how big Texas is, I don't think Texans understand how big Australia is

I have never heard any Texan make a comparison with Australia. It's a whole continent!

Yeah but here Australia is Asia not Oceania.

Isn’t Texas smaller than most 4/6 Aussie states ?

Yes. It's bigger than our two smallest states and way smaller than the others. Good on ya Texas, lil champ. Doing your best.";Drive-By Drop;
"Portuguese newspaper ""Record"" front page: Cape Verdean goalkeeper Vozinha silences Spain in a historic 0-0 draw!

He’s got 5M followers now!

the motion footy fans have on social media is insane

It's so crazy, Brunson just won FMVP in the most recent most watched finals and playing with a NY team and this guy gets this support for a group match draw lol

Football is the most popular sport in the world, and during the World Cup a lot of people stop everything to watch the matches. Vozinha produced one of the best performances of the tournament so far. He was practically unknown outside of Cape Verde and Portugal, and suddenly became a star at 40 years old.

its why the world cup is so great

This quite the american view on the sports world :D

There are a lot of places in the world where they don't give shit about basketball, but there are not a lot of places where they don't give a shit about football

sstttt... let it be...";Analytical/Speculative Take;
"Uruguay's football team was subjected to intense screening as they arrived for their opening game. Sniffer dogs were deployed on teams luggage.

Suspicious amount of dulce de leche. I would confiscate.

Mate is probably a Schedule I substance there.

It's true. That's why they sell those bombilla cups at vape shops

As someone pointed out in another thread, this dog was used as a quick agriculture check as opposed to full customs to expedite getting them into the country given their plane issues in Mexico yesterday.

They’re gonna take the mate stash

They better not!!! I've never been to a country more serious about their mate than Uruguay";Analytical/Speculative Take;"thin Analytical calls under your minimum-bar rule — each has at least one specific cited fact (past broken promises; the agriculture-check explanation) even though most of the thread is jokes."
"For the first time since June 15, 1958, there was a World Cup day with 4 draws. On that day in 1958, there was 8 games played.

And honestly all of them were bangers

I thought the Belgian Egypt game was a bit weaker and would've wanted something out of that but just my dumb opinion. Certainly not on par with Iran NZ and Spain Cabo Verde at least.

Bit frustrating to see Doku not get the ball when his magic is dribbling past less technical players. Belgium were mainly attacking down their right side and it's like bruh you have Doku on your team??

I considered the Egypt/Belgium the most interesting game of the day in terms of it being a back and forth with both teams showing class, the only knock on it was the reffing. But thats just my dumb opinion.

Not dumb; that ref allowed egregious fouls vs both sides. Worst ref game of tourny so far imo.";Analytical/Speculative Take;
"Fox likely making upwards of $250M on hydration break ads during World Cup

And for that reason hydration breaks will continue until the morale improves

Lmao next World Cup is being held mostly in Iberia/Morocco. This is just the beginning of “hydration breaks”.

And then after that it's Saudi Arabia.

Saudi Arabia is gonna be another winter WC like Qatar

They'll just keep it in the Summer and do TWO hydration breaks per half.

Brought to you by Powerade

They had cooling breaks in Qatar too.

When? Maybe in one or two matches, but I don't recall any cooling breaks in Qatar.

The difference was that they were actual hydration breaks that only happened if the temperature was above a certain level. They weren't a set amount of time, they were the minute it took the players to get a drink and get back in position, so they couldn't be utilised for ads without potentially missing part of the game.";Analytical/Speculative Take;
"Iran [2] - 2 New Zealand - Mohebi 64' : r/soccer

Always the most random games that end up producing tournament highlight matches.

Two evenly matched teams knowing they need a win is always a good time

What a fucking diag. What a fucking cross. What a fucking header!

This match is absolute cinema

“BANG!!! BANG!!!” - Mike Breen

World Cup After Dark never fails to deliver

The European mind cannot comprehend its power btw

This has been the best game of the WC so far

who would've guessed iran new zealand would be match of the tournament. holy smokes

What a fucking ball";Drive-By Drop;
"Iran 1-[2] New Zealand - Elijah Just 55' : r/soccer

what an entertaining game man

It’s always the games you least expect that end up being exciting

Like Turkey Georgia at the euros

Both teams feeling like it's their best chance for a win and making it into the 3rd place playoffs. Neither team is really a defend and counter attack type team because neither have the speed for it. Didn't surprise me at all.

agree! world cup is so great

people wrote this off man

Always the game you thought to skip

I have no idea how he made that.";Analytical/Speculative Take;
"[Ben Jacobs] Donald Trump will be allowed to lift the World Cup trophy with the winning team, as he did at the Club World Cup. Trump will present the 2026 champions with the trophy on July 19 at MetLife Stadium alongside FIFA President Gianni Infantino.

Cole Palmer confused face

That really was an all-timer of a screen grab.

Just him? What about the President of Mexico or the Prime Minister of Canada?..

Mexico don't even host a game after Round of 16. What a shame!

While having the best stadium...

And most welcoming fans. A world cup for the sport would have seen a Mexico only tournament

Neither does Canada. It's all US for the last 8 matches.

Those two nothing burgers? Um, excuse me, but Donald J Trump is the rightful winner of the FIFA Peace Prize! There is no better unifying candidate!";Analytical/Speculative Take;
"New Zealand goalkeeper Max Crocombe causes a moment of chaos against Iran 28' (World Cup 2026) : r/soccer

Why not give a card for simulation to go with the bruise on his calf?

Serious question: can you be given a red card for simulation?

One can be given a 2nd yellow, but I’ve never seen a straight red given.

How is this ref just allowing all these blatant dives?

Concacaf ref

How do you survive that?

that's the neat part, you don't

Bros are flopping harder than Shai-Gilgeous Alexander out here";Analytical/Speculative Take;
"Iran disallowed goal against New Zealand 45+5' : r/soccer
Just a hair offside
by a Wood’s splinter
By a bees dick one might say
Yeah how are we to believe that was actually off without the graphics.";Drive-By Drop;
"Mehdi Taremi (Iran) hits the post against New Zealand 23' : r/soccer
Was yelling at the screen for him to pass it on his left
Had so many options
Feel like New Zealand couldn't decide who should pick him up and just let him move right down the whole pitch. Lucky it only hit the post. Can't give Taremi that much space he's Iran's most dangerous attacker
This is how it felt IRL also lol
woodwork challenge these past few matches
Ego would be proud
What's Ethan Page gotta do with this";Analytical/Speculative Take;
"[OptaAnalyst] 22 - Uruguay attempted 22 shots in the second half against Saudi Arabia. The last team to attempt more shots in a half of a FIFA World Cup match was East Germany against Chile in 1974 (24 in the first half). : r/soccer
Fun fact: this was East Germany's first and only qualification for the World Cup.
The 1974 World Cup was hosted by West Germany.
West and East Germany were drawn into the same group.
East Germany won.
The first and only time the two German nations met each other on the pitch.
Also even weirder when you consider that West Germany won the 1974 World Cup, meaning their only loss that tournament was against East Germany. And due to the format of that WC which had a second group phase where the two winners of each group made the final, that loss against East Germany meant West Germany avoided playing the two pre-tournament favorites - Brazil and Netherlands - in the second group stage. Effectively, East Germany beating West Germany was a crucial factor in West Germany’s eventual WC triumph.
What I am hearing is, Germany won 74 undefeated.";Analytical/Speculative Take;
"Uzbekistan 0-1 Colombia - Daniel Muñoz 41' : r/soccer
Absolute homing missile from Diaz
Beautiful long ball to break Uzbek lines
WHAT A FUCKING BALL
What a fucking touch too
Could hardly have been better
He was on it for a lot of this game. And Diaz also sent a complete missile of an assist to Muñoz for that amazing finish. Brilliant stuff
Absolutely absurd ball with an outrageous finish. Wow wow wow.
Lucho is so fucking class it’s so sad he’s never played on this stage befoe
Difficult finish too!
WOWWWWWWW TOP 3 goal so far
Perfect pass";Drive-By Drop;
"Ronaldo leaves the field alone and before his teammates after Congo draw : r/soccer

This yalls GOAT?

Damn sure not mine lol

Where is the article about what he had for breakfast?

Villain origin story in the making... Don't let him get his hands on Compound V.

Rent free, you guys are actually pathetic

Are you sure he's not leaving first so Bruno doesn't bite his ankle for intercepting a great pass meant for Bruno just so he can squander it?

Jfc y'all need to get a life";Drive-By Drop;
"Mexican fans spot a South Korean fan and immediately adopt him : r/soccer

Us Mexicans love Koreans, there’s several of them living here too

Don't you love everyone? Except maybe the Argentinians?

Most of latin america hate at least some other countries but everyone kind of hates Argentina. Like France in Europe. The difference is that while they are insufferable they are our insufferables so in the end we get along.

Edit:Hate may be a strong word. Is more of a friendly dislike but never to the point of actually being harmful to each other.

in the end we get along.

Well.....

the hate is mostly online, and it's mostly south America bar Brasil vs Mexico, but in real life that wouldn't happen imo, mostly love between all Latinoamérica";Human-Interest/Color;
"[ESPN FC] DR Congo has earned their first-ever World Cup point with their draw vs. Portugal

portugal and spain play with no urgency and get surprised why they cant create chances lmao
just iberian things
Too much expensive ham
That ham is good though
THE QUALITY OF HAM IS ALWAYS IN QUESTION
Come now, he just won the Spanish grand prix!
It was siesta time
Too busy taking a siesta
Quite literally what Morocco abused to get to the semis last WC. If you just stay structured defensively, they won’t play with the urgency or risk-taking needed to create holes";Analytical/Speculative Take;
"Australian World Cup fans were caught chanting: “Aussie boys are on a bender, Donald Trump is a sex offender.”

Honestly hope they sing this Friday lol
Seattle fans will lend their voices as well!
Ya was going to say Seattle soccer fans is about as Trump-hating of a selected group of Americans as you can find.
I think if you had to pick a city/mainstream sport combo you would not find anything close.
FIFA bans political chant, so it would probably lead to a halt of game for a warning.
I mean they banned the old Iranian flag and there were more of those than the actual flag in Los Angeles.
you mean to tell me that the iranian diaspora that came to watch the game didnt fly the flag of the islamic republic of iran?
Shocking I know right?";Analytical/Speculative Take;
"A duck in Mexico wearing a Mexican jersey

This is why I love the wc
We are so back
We are so quack*
Get out.
Quack out
It knows Quak-Fu!
These joke’s are Fowl
Games quack
To be fair this feels like business as usual in Mexico, just wearing more jerseys.
Atmosphere in Mexico will be great, somewhere else idk
I have high hopes for Canada too!
I can report that Vancouver is lit right now, we're ready!
If I don't see a goose in a Canada jersey I'll be severely disappointed.
If someone can get a Canada Goose in a Canada Jersey and survive they’ll be a national hero!";Human-Interest/Color;
"Australian World Cup fans were caught chanting: “Aussie boys are on a bender, Donald Trump is a sex offender.""

Stickied comment

Honestly hope they sing this Friday lol
Seattle fans will lend their voices as well!
Ya was going to say Seattle soccer fans is about as Trump-hating of a selected group of Americans as you can find.
I think if you had to pick a city/mainstream sport combo you would not find anything close. They don’t have the Leftist “nothing matters” vibe that Portlanders do.
I think FIFA bans political chant, so it would probably lead to a halt of game for a warning. Would still be amazing though. If anything they can time it to kill USA momentum, lol.
I mean they banned the old Iranian flag and there were more of those than the actual flag in Los Angeles. I just don't think they would do anything. FIFA talked a big game about the flag and did nothing about it.
you mean to tell me that the Iranian diaspora that came to watch the game didn't fly the flag of the Islamic Republic of Iran?
Shocking I know right?";Analytical/Speculative Take;
"England and Croatia fans both boo as the referee blows for the first hydration break.

Stickied comment

Playing Mr Brightside to win them over in the 2nd half
It worked. Everyone was singing by the end lol
I hate how much I liked hearing the crowd sing it
We do it at Buffalo Bills games too. For a song about insecurity about infidelity, it's a wonderful sing along
Sweet Caroline coming next time, watch this space
Now I’m booing from home
Fucking hate Sweet Caroline so so much
I like the song, but it’s massively overplayed at sports events
That’s kind of how it is with most music for me, catchy hooks get old fast
The song of Euro 2020 and it should’ve stopped after that
Can we leave it for the Lionesses and get something else for the men?
Darude Sandstorm
Hey Jude";Human-Interest/Color;
"Synchronous coaching moment during Ghana v Panama

Stickied comment

AYYY
Does synchronising it always cause the organisation's logo to appear out of thin air
Xaviesta vibes
Also mildly r/breathinginformation
They summoned the FIFA graphic Rafa Benítez-style
Looks like he conjures the graphic lol
That’s where Quieroz went
They should get married";Drive-By Drop;
"Ivan Perisic great leapfrog celebration after Croatia equalizer against England

Guys 37 is only 'old' in football terms. You're acting as if this fit athlete at 37 is supposed to be walking assisted lol
True, an it's still some great show of athleticism. Most people can't do that regardless of age
A 37 year old man... I got injured just watching that for fuck sake.";Drive-By Drop;
"Bruno Fernandes' reaction to Cristiano Ronaldo's missed chance

He's 100% right. The ball wasn't behind. It was FOR BRUNO. What a frustrating game.
Cristiano Ronaldo’s World Cup performances really are the bane of his existence. He never performed as well as he did in Madrid, and a lot of times it seemed Portugal did well in spite of him.
He genuinely holds them back, which is wild to say considering the amount of goals he gets but it feels like for the past 6+ years Portugal have to end all their attacks with a pass to Ronaldo.";Analytical/Speculative Take;
"Newcastle United offer was accepted by Osasuna for Victor Munoz.The Magpies were waiting for news back before it is then understood Munoz chose to join Liverpool

After the past year Newcastle's recruitment team must fucking hate Liverpool.
I'd feel bad for them, but they screwed both of us over by waiting so long to sell Isak last year.
Ekitike scenario.";Analytical/Speculative Take;
"DR Congo fans chanting “MESSI! MESSI! MESSI!” in front of Cristiano Ronaldo

It's ok they're saying merci
I was saying boo-urns
lol Martinez as Smithers telling Cronaldo they’re saying Merci is sending me";Drive-By Drop;
